2024-09-04 23:08:44 install libtirpc-common:all <none> 1.3.3+ds-1
2024-09-04 23:08:44 status half-installed libtirpc-common:all 1.3.3+ds-1
2024-09-04 23:08:44 status unpacked libtirpc-common:all 1.3.3+ds-1
2024-09-04 23:08:44 install libtirpc3:amd64 <none> 1.3.3+ds-1
2024-09-04 23:08:44 status half-installed libtirpc3:amd64 1.3.3+ds-1
2024-09-04 23:08:44 status unpacked libtirpc3:amd64 1.3.3+ds-1
2024-09-04 23:08:44 install libnsl2:amd64 <none> 1.3.0-2
2024-09-04 23:08:44 status half-installed libnsl2:amd64 1.3.0-2
2024-09-04 23:08:44 status unpacked libnsl2:amd64 1.3.0-2
2024-09-04 23:08:44 install libtirpc-dev:amd64 <none> 1.3.3+ds-1
2024-09-04 23:08:44 status half-installed libtirpc-dev:amd64 1.3.3+ds-1
2024-09-04 23:08:44 status unpacked libtirpc-dev:amd64 1.3.3+ds-1
2024-09-04 23:08:44 install libnsl-dev:amd64 <none> 1.3.0-2
2024-09-04 23:08:44 status half-installed libnsl-dev:amd64 1.3.0-2
2024-09-04 23:08:44 status unpacked libnsl-dev:amd64 1.3.0-2
2024-09-04 23:08:44 install rpcsvc-proto:amd64 <none> 1.4.3-1
2024-09-04 23:08:44 status half-installed rpcsvc-proto:amd64 1.4.3-1
2024-09-04 23:08:44 status unpacked rpcsvc-proto:amd64 1.4.3-1
2024-09-04 23:08:44 install libc6-dev:amd64 <none> 2.36-9+deb12u8
2024-09-04 23:08:44 status half-installed libc6-dev:amd64 2.36-9+deb12u8
2024-09-04 23:08:44 status unpacked libc6-dev:amd64 2.36-9+deb12u8
2024-09-04 23:08:44 install libbluetooth-dev:amd64 <none> 5.66-1+deb12u2
2024-09-04 23:08:44 status half-installed libbluetooth-dev:amd64 5.66-1+deb12u2
2024-09-04 23:08:44 status unpacked libbluetooth-dev:amd64 5.66-1+deb12u2
2024-09-04 23:08:44 install libbrotli1:amd64 <none> 1.0.9-2+b6
2024-09-04 23:08:44 status half-installed libbrotli1:amd64 1.0.9-2+b6
2024-09-04 23:08:44 status unpacked libbrotli1:amd64 1.0.9-2+b6
2024-09-04 23:08:44 install libbrotli-dev:amd64 <none> 1.0.9-2+b6
2024-09-04 23:08:44 status half-installed libbrotli-dev:amd64 1.0.9-2+b6
2024-09-04 23:08:44 status unpacked libbrotli-dev:amd64 1.0.9-2+b6
2024-09-04 23:08:44 install libbsd0:amd64 <none> 0.11.7-2
2024-09-04 23:08:44 status half-installed libbsd0:amd64 0.11.7-2
2024-09-04 23:08:44 status unpacked libbsd0:amd64 0.11.7-2
2024-09-04 23:08:44 install libbz2-dev:amd64 <none> 1.0.8-5+b1
2024-09-04 23:08:44 status half-installed libbz2-dev:amd64 1.0.8-5+b1
2024-09-04 23:08:44 status unpacked libbz2-dev:amd64 1.0.8-5+b1
2024-09-04 23:08:44 install libdb5.3-dev:amd64 <none> 5.3.28+dfsg2-1
2024-09-04 23:08:44 status half-installed libdb5.3-dev:amd64 5.3.28+dfsg2-1
2024-09-04 23:08:44 status unpacked libdb5.3-dev:amd64 5.3.28+dfsg2-1
2024-09-04 23:08:44 install libdb-dev:amd64 <none> 5.3.2
2024-09-04 23:08:44 status half-installed libdb-dev:amd64 5.3.2
2024-09-04 23:08:44 status unpacked libdb-dev:amd64 5.3.2
2024-09-04 23:08:44 install libexpat1:amd64 <none> 2.5.0-1
2024-09-04 23:08:44 status half-installed libexpat1:amd64 2.5.0-1
2024-09-04 23:08:44 status unpacked libexpat1:amd64 2.5.0-1
2024-09-04 23:08:44 install libexpat1-dev:amd64 <none> 2.5.0-1
2024-09-04 23:08:44 status half-installed libexpat1-dev:amd64 2.5.0-1
2024-09-04 23:08:44 status unpacked libexpat1-dev:amd64 2.5.0-1
2024-09-04 23:08:44 install libffi-dev:amd64 <none> 3.4.4-1
2024-09-04 23:08:44 status half-installed libffi-dev:amd64 3.4.4-1
2024-09-04 23:08:44 status unpacked libffi-dev:amd64 3.4.4-1
2024-09-04 23:08:44 install libpng16-16:amd64 <none> 1.6.39-2
2024-09-04 23:08:44 status half-installed libpng16-16:amd64 1.6.39-2
2024-09-04 23:08:44 status unpacked libpng16-16:amd64 1.6.39-2
2024-09-04 23:08:44 install libfreetype6:amd64 <none> 2.12.1+dfsg-5+deb12u3
2024-09-04 23:08:44 status half-installed libfreetype6:amd64 2.12.1+dfsg-5+deb12u3
2024-09-04 23:08:44 status unpacked libfreetype6:amd64 2.12.1+dfsg-5+deb12u3
2024-09-04 23:08:44 install libfontconfig1:amd64 <none> 2.14.1-4
2024-09-04 23:08:44 status half-installed libfontconfig1:amd64 2.14.1-4
2024-09-04 23:08:44 status unpacked libfontconfig1:amd64 2.14.1-4
2024-09-04 23:08:44 install zlib1g-dev:amd64 <none> 1:1.2.13.dfsg-1
2024-09-04 23:08:44 status half-installed zlib1g-dev:amd64 1:1.2.13.dfsg-1
2024-09-04 23:08:44 status unpacked zlib1g-dev:amd64 1:1.2.13.dfsg-1
2024-09-04 23:08:44 install libpng-dev:amd64 <none> 1.6.39-2
2024-09-04 23:08:44 status half-installed libpng-dev:amd64 1.6.39-2
2024-09-04 23:08:44 status unpacked libpng-dev:amd64 1.6.39-2
2024-09-04 23:08:44 install libfreetype-dev:amd64 <none> 2.12.1+dfsg-5+deb12u3
2024-09-04 23:08:44 status half-installed libfreetype-dev:amd64 2.12.1+dfsg-5+deb12u3
2024-09-04 23:08:44 status unpacked libfreetype-dev:amd64 2.12.1+dfsg-5+deb12u3
2024-09-04 23:08:44 install uuid-dev:amd64 <none> 2.38.1-5+deb12u1
2024-09-04 23:08:44 status half-installed uuid-dev:amd64 2.38.1-5+deb12u1
2024-09-04 23:08:44 status unpacked uuid-dev:amd64 2.38.1-5+deb12u1
2024-09-04 23:08:44 install libpkgconf3:amd64 <none> 1.8.1-1
2024-09-04 23:08:44 status half-installed libpkgconf3:amd64 1.8.1-1
2024-09-04 23:08:44 status unpacked libpkgconf3:amd64 1.8.1-1
2024-09-04 23:08:44 install pkgconf-bin:amd64 <none> 1.8.1-1
2024-09-04 23:08:44 status half-installed pkgconf-bin:amd64 1.8.1-1
2024-09-04 23:08:44 status unpacked pkgconf-bin:amd64 1.8.1-1
2024-09-04 23:08:44 install pkgconf:amd64 <none> 1.8.1-1
2024-09-04 23:08:44 status half-installed pkgconf:amd64 1.8.1-1
2024-09-04 23:08:44 status unpacked pkgconf:amd64 1.8.1-1
2024-09-04 23:08:44 install pkg-config:amd64 <none> 1.8.1-1
2024-09-04 23:08:44 status half-installed pkg-config:amd64 1.8.1-1
2024-09-04 23:08:45 status unpacked pkg-config:amd64 1.8.1-1
2024-09-04 23:08:45 install libfontconfig-dev:amd64 <none> 2.14.1-4
2024-09-04 23:08:45 status half-installed libfontconfig-dev:amd64 2.14.1-4
2024-09-04 23:08:45 status unpacked libfontconfig-dev:amd64 2.14.1-4
2024-09-04 23:08:45 install libfontconfig1-dev:amd64 <none> 2.14.1-4
2024-09-04 23:08:45 status half-installed libfontconfig1-dev:amd64 2.14.1-4
2024-09-04 23:08:45 status unpacked libfontconfig1-dev:amd64 2.14.1-4
