2024-10-07 03:59:07 status half-installed libtirpc3:amd64 1.3.3+ds-1
2024-10-07 03:59:07 status unpacked libtirpc3:amd64 1.3.3+ds-1
2024-10-07 03:59:07 install libnsl2:amd64 <none> 1.3.0-2
2024-10-07 03:59:07 status half-installed libnsl2:amd64 1.3.0-2
2024-10-07 03:59:07 status unpacked libnsl2:amd64 1.3.0-2
2024-10-07 03:59:08 install readline-common:all <none> 8.2-1.3
2024-10-07 03:59:08 status half-installed readline-common:all 8.2-1.3
2024-10-07 03:59:08 status unpacked readline-common:all 8.2-1.3
2024-10-07 03:59:08 install libreadline8:amd64 <none> 8.2-1.3
2024-10-07 03:59:08 status half-installed libreadline8:amd64 8.2-1.3
2024-10-07 03:59:08 status unpacked libreadline8:amd64 8.2-1.3
2024-10-07 03:59:08 install libsqlite3-0:amd64 <none> 3.40.1-2
2024-10-07 03:59:08 status half-installed libsqlite3-0:amd64 3.40.1-2
2024-10-07 03:59:09 status unpacked libsqlite3-0:amd64 3.40.1-2
2024-10-07 03:59:09 install libpython3.11-stdlib:amd64 <none> 3.11.2-6+deb12u3
2024-10-07 03:59:09 status half-installed libpython3.11-stdlib:amd64 3.11.2-6+deb12u3
2024-10-07 03:59:10 status unpacked libpython3.11-stdlib:amd64 3.11.2-6+deb12u3
2024-10-07 03:59:10 install python3.11:amd64 <none> 3.11.2-6+deb12u3
2024-10-07 03:59:10 status half-installed python3.11:amd64 3.11.2-6+deb12u3
2024-10-07 03:59:10 status unpacked python3.11:amd64 3.11.2-6+deb12u3
2024-10-07 03:59:10 install libpython3-stdlib:amd64 <none> 3.11.2-1+b1
2024-10-07 03:59:10 status half-installed libpython3-stdlib:amd64 3.11.2-1+b1
2024-10-07 03:59:10 status unpacked libpython3-stdlib:amd64 3.11.2-1+b1
2024-10-07 03:59:11 startup packages configure
2024-10-07 03:59:11 configure python3-minimal:amd64 3.11.2-1+b1 <none>
2024-10-07 03:59:11 status unpacked python3-minimal:amd64 3.11.2-1+b1
2024-10-07 03:59:11 status half-configured python3-minimal:amd64 3.11.2-1+b1
2024-10-07 03:59:12 status installed python3-minimal:amd64 3.11.2-1+b1
2024-10-07 03:59:12 startup archives unpack
2024-10-07 03:59:12 install python3:amd64 <none> 3.11.2-1+b1
2024-10-07 03:59:12 status half-installed python3:amd64 3.11.2-1+b1
2024-10-07 03:59:13 status unpacked python3:amd64 3.11.2-1+b1
2024-10-07 03:59:13 install sudo:amd64 <none> 1.9.13p3-1+deb12u1
2024-10-07 03:59:13 status half-installed sudo:amd64 1.9.13p3-1+deb12u1
2024-10-07 03:59:13 status unpacked sudo:amd64 1.9.13p3-1+deb12u1
2024-10-07 03:59:14 install netbase:all <none> 6.4
2024-10-07 03:59:14 status half-installed netbase:all 6.4
2024-10-07 03:59:14 status unpacked netbase:all 6.4
2024-10-07 03:59:14 install libproc2-0:amd64 <none> 2:4.0.2-3
2024-10-07 03:59:14 status half-installed libproc2-0:amd64 2:4.0.2-3
2024-10-07 03:59:14 status unpacked libproc2-0:amd64 2:4.0.2-3
2024-10-07 03:59:15 install procps:amd64 <none> 2:4.0.2-3
2024-10-07 03:59:15 status half-installed procps:amd64 2:4.0.2-3
2024-10-07 03:59:15 status unpacked procps:amd64 2:4.0.2-3
2024-10-07 03:59:15 install bzip2:amd64 <none> 1.0.8-5+b1
2024-10-07 03:59:15 status half-installed bzip2:amd64 1.0.8-5+b1
2024-10-07 03:59:16 status unpacked bzip2:amd64 1.0.8-5+b1
2024-10-07 03:59:16 install openssl:amd64 <none> 3.0.14-1~deb12u2
2024-10-07 03:59:16 status half-installed openssl:amd64 3.0.14-1~deb12u2
2024-10-07 03:59:16 status unpacked openssl:amd64 3.0.14-1~deb12u2
2024-10-07 03:59:17 install ca-certificates:all <none> 20230311
2024-10-07 03:59:17 status half-installed ca-certificates:all 20230311
2024-10-07 03:59:17 status unpacked ca-certificates:all 20230311
2024-10-07 03:59:17 install krb5-locales:all <none> 1.20.1-2+deb12u2
2024-10-07 03:59:17 status half-installed krb5-locales:all 1.20.1-2+deb12u2
2024-10-07 03:59:17 status unpacked krb5-locales:all 1.20.1-2+deb12u2
2024-10-07 03:59:17 install manpages:all <none> 6.03-2
2024-10-07 03:59:17 status half-installed manpages:all 6.03-2
2024-10-07 03:59:18 status unpacked manpages:all 6.03-2
2024-10-07 03:59:18 install xz-utils:amd64 <none> 5.4.1-0.2
2024-10-07 03:59:18 status half-installed xz-utils:amd64 5.4.1-0.2
2024-10-07 03:59:18 status unpacked xz-utils:amd64 5.4.1-0.2
2024-10-07 03:59:18 install bc:amd64 <none> 1.07.1-3+b1
2024-10-07 03:59:18 status half-installed bc:amd64 1.07.1-3+b1
2024-10-07 03:59:19 status unpacked bc:amd64 1.07.1-3+b1
2024-10-07 03:59:19 install binutils-common:amd64 <none> 2.40-2
2024-10-07 03:59:19 status half-installed binutils-common:amd64 2.40-2
2024-10-07 03:59:20 status unpacked binutils-common:amd64 2.40-2
2024-10-07 03:59:20 install libbinutils:amd64 <none> 2.40-2
2024-10-07 03:59:20 status half-installed libbinutils:amd64 2.40-2
2024-10-07 03:59:20 status unpacked libbinutils:amd64 2.40-2
2024-10-07 03:59:20 install libctf-nobfd0:amd64 <none> 2.40-2
2024-10-07 03:59:20 status half-installed libctf-nobfd0:amd64 2.40-2
2024-10-07 03:59:21 status unpacked libctf-nobfd0:amd64 2.40-2
2024-10-07 03:59:21 install libctf0:amd64 <none> 2.40-2
2024-10-07 03:59:21 status half-installed libctf0:amd64 2.40-2
2024-10-07 03:59:21 status unpacked libctf0:amd64 2.40-2
2024-10-07 03:59:21 install libgprofng0:amd64 <none> 2.40-2
2024-10-07 03:59:21 status half-installed libgprofng0:amd64 2.40-2
2024-10-07 03:59:22 status unpacked libgprofng0:amd64 2.40-2
2024-10-07 03:59:22 install libjansson4:amd64 <none> 2.14-2
2024-10-07 03:59:22 status half-installed libjansson4:amd64 2.14-2
2024-10-07 03:59:22 status unpacked libjansson4:amd64 2.14-2
2024-10-07 03:59:22 install binutils-x86-64-linux-gnu:amd64 <none> 2.40-2
2024-10-07 03:59:22 status half-installed binutils-x86-64-linux-gnu:amd64 2.40-2
2024-10-07 03:59:23 status unpacked binutils-x86-64-linux-gnu:amd64 2.40-2
2024-10-07 03:59:23 install binutils:amd64 <none> 2.40-2
2024-10-07 03:59:23 status half-installed binutils:amd64 2.40-2
2024-10-07 03:59:23 status unpacked binutils:amd64 2.40-2
2024-10-07 03:59:24 install libc-dev-bin:amd64 <none> 2.36-9+deb12u8
2024-10-07 03:59:24 status half-installed libc-dev-bin:amd64 2.36-9+deb12u8
2024-10-07 03:59:24 status unpacked libc-dev-bin:amd64 2.36-9+deb12u8
2024-10-07 03:59:24 install linux-libc-dev:amd64 <none> 6.1.112-1
2024-10-07 03:59:24 status half-installed linux-libc-dev:amd64 6.1.112-1
2024-10-07 03:59:25 status unpacked linux-libc-dev:amd64 6.1.112-1
2024-10-07 03:59:25 install libcrypt-dev:amd64 <none> 1:4.4.33-2
2024-10-07 03:59:25 status half-installed libcrypt-dev:amd64 1:4.4.33-2
2024-10-07 03:59:26 status unpacked libcrypt-dev:amd64 1:4.4.33-2
2024-10-07 03:59:26 install libtirpc-dev:amd64 <none> 1.3.3+ds-1
2024-10-07 03:59:26 status half-installed libtirpc-dev:amd64 1.3.3+ds-1
2024-10-07 03:59:26 status unpacked libtirpc-dev:amd64 1.3.3+ds-1
2024-10-07 03:59:26 install libnsl-dev:amd64 <none> 1.3.0-2
2024-10-07 03:59:26 status half-installed libnsl-dev:amd64 1.3.0-2
2024-10-07 03:59:26 status unpacked libnsl-dev:amd64 1.3.0-2
2024-10-07 03:59:26 install rpcsvc-proto:amd64 <none> 1.4.3-1
2024-10-07 03:59:26 status half-installed rpcsvc-proto:amd64 1.4.3-1
2024-10-07 03:59:27 status unpacked rpcsvc-proto:amd64 1.4.3-1
