2024-09-04 22:55:00 status half-installed libssh2-1:amd64 1.10.0-3+b1
2024-09-04 22:55:00 status unpacked libssh2-1:amd64 1.10.0-3+b1
2024-09-04 22:55:00 install libcurl4:amd64 <none> 7.88.1-10+deb12u7
2024-09-04 22:55:00 status half-installed libcurl4:amd64 7.88.1-10+deb12u7
2024-09-04 22:55:00 status unpacked libcurl4:amd64 7.88.1-10+deb12u7
2024-09-04 22:55:00 install curl:amd64 <none> 7.88.1-10+deb12u7
2024-09-04 22:55:00 status half-installed curl:amd64 7.88.1-10+deb12u7
2024-09-04 22:55:01 status unpacked curl:amd64 7.88.1-10+deb12u7
2024-09-04 22:55:01 install libassuan0:amd64 <none> 2.5.5-5
2024-09-04 22:55:01 status half-installed libassuan0:amd64 2.5.5-5
2024-09-04 22:55:01 status unpacked libassuan0:amd64 2.5.5-5
2024-09-04 22:55:01 install libreadline8:amd64 <none> 8.2-1.3
2024-09-04 22:55:01 status half-installed libreadline8:amd64 8.2-1.3
2024-09-04 22:55:01 status unpacked libreadline8:amd64 8.2-1.3
2024-09-04 22:55:01 install gpgconf:amd64 <none> 2.2.40-1.1
2024-09-04 22:55:01 status half-installed gpgconf:amd64 2.2.40-1.1
2024-09-04 22:55:01 status unpacked gpgconf:amd64 2.2.40-1.1
2024-09-04 22:55:01 install libksba8:amd64 <none> 1.6.3-2
2024-09-04 22:55:01 status half-installed libksba8:amd64 1.6.3-2
2024-09-04 22:55:01 status unpacked libksba8:amd64 1.6.3-2
2024-09-04 22:55:01 install libnpth0:amd64 <none> 1.6-3
2024-09-04 22:55:01 status half-installed libnpth0:amd64 1.6-3
2024-09-04 22:55:01 status unpacked libnpth0:amd64 1.6-3
2024-09-04 22:55:01 install dirmngr:amd64 <none> 2.2.40-1.1
2024-09-04 22:55:01 status half-installed dirmngr:amd64 2.2.40-1.1
2024-09-04 22:55:01 status unpacked dirmngr:amd64 2.2.40-1.1
2024-09-04 22:55:01 install gnupg-l10n:all <none> 2.2.40-1.1
2024-09-04 22:55:01 status half-installed gnupg-l10n:all 2.2.40-1.1
2024-09-04 22:55:01 status unpacked gnupg-l10n:all 2.2.40-1.1
2024-09-04 22:55:01 install gnupg-utils:amd64 <none> 2.2.40-1.1
2024-09-04 22:55:01 status half-installed gnupg-utils:amd64 2.2.40-1.1
